frequency_hz,dB,pedal,gain,tone
11886.328125,-37.27880999999999,nobels,100%,0%
11929.394531,-37.422596999999996,nobels,100%,0%
11972.460938,-37.777543,nobels,100%,0%
12015.527344,-37.72811999999999,nobels,100%,0%
12058.59375,-37.918443,nobels,100%,0%
12101.660156,-38.235124,nobels,100%,0%
12144.726562,-38.224652,nobels,100%,0%
12187.792969,-38.17231099999999,nobels,100%,0%
12230.859375,-38.317101,nobels,100%,0%
12273.925781,-38.482687,nobels,100%,0%
12316.992188,-38.507602999999996,nobels,100%,0%
12360.058594,-38.846166,nobels,100%,0%
12403.125,-38.941415,nobels,100%,0%
12446.191406,-39.223214999999996,nobels,100%,0%
12489.257812,-39.297616,nobels,100%,0%
12532.324219,-39.381009000000006,nobels,100%,0%
12575.390625,-39.64223899999999,nobels,100%,0%
12618.457031,-39.59179099999999,nobels,100%,0%
12661.523438,-39.664995,nobels,100%,0%
12704.589844,-40.163517999999996,nobels,100%,0%
12747.65625,-40.120782,nobels,100%,0%
12790.722656,-39.981508,nobels,100%,0%
12833.789062,-40.01170499999999,nobels,100%,0%
12876.855469,-40.11033,nobels,100%,0%
12919.921875,-40.189484,nobels,100%,0%
12962.988281,-40.049142,nobels,100%,0%
13006.054688,-39.911321,nobels,100%,0%
13049.121094,-39.944219,nobels,100%,0%
13092.1875,-39.890718,nobels,100%,0%
13135.253906,-39.947279,nobels,100%,0%
13178.320312,-39.911283,nobels,100%,0%
13221.386719,-40.242013,nobels,100%,0%
13264.453125,-40.041470999999994,nobels,100%,0%
13307.519531,-39.989495,nobels,100%,0%
13350.585938,-39.742830000000005,nobels,100%,0%
13393.652344,-39.524754,nobels,100%,0%
13436.71875,-39.62855999999999,nobels,100%,0%
13479.785156,-39.369527000000005,nobels,100%,0%
13522.851562,-39.537518999999996,nobels,100%,0%
13565.917969,-39.60982200000001,nobels,100%,0%
13608.984375,-39.288198,nobels,100%,0%
13652.050781,-39.45642199999999,nobels,100%,0%
13695.117188,-39.06271100000001,nobels,100%,0%
13738.183594,-38.91185899999999,nobels,100%,0%
13781.25,-39.039342,nobels,100%,0%
13824.316406,-38.947593999999995,nobels,100%,0%
13867.382812,-38.845361000000004,nobels,100%,0%
13910.449219,-38.609495,nobels,100%,0%
13953.515625,-38.437401,nobels,100%,0%
13996.582031,-38.249174,nobels,100%,0%
14039.648438,-38.10801,nobels,100%,0%
14082.714844,-37.95351900000001,nobels,100%,0%
14125.78125,-37.922837,nobels,100%,0%
14168.847656,-37.595194000000006,nobels,100%,0%
14211.914062,-37.431127,nobels,100%,0%
14254.980469,-37.42973,nobels,100%,0%
14298.046875,-37.411984999999994,nobels,100%,0%
14341.113281,-37.390634000000006,nobels,100%,0%
14384.179688,-37.151628,nobels,100%,0%
14427.246094,-36.894062999999996,nobels,100%,0%
14470.3125,-37.081399000000005,nobels,100%,0%
14513.378906,-36.833661000000006,nobels,100%,0%
14556.445312,-36.701809999999995,nobels,100%,0%
14599.511719,-36.648435,nobels,100%,0%
14642.578125,-36.58225,nobels,100%,0%
14685.644531,-36.338891000000004,nobels,100%,0%
