Frequency,dB,pedal,Tone,Gain
10723.535156,-9.956748000000008,blues driver - C,0%,0%,
10766.601562,-10.573093000000004,blues driver - C,0%,0%,
10809.667969,-11.133509999999998,blues driver - C,0%,0%,
10852.734375,-10.505184000000003,blues driver - C,0%,0%,
10895.800781,-10.577960000000001,blues driver - C,0%,0%,
10938.867188,-10.255965,blues driver - C,0%,0%,
10981.933594,-10.093624000000002,blues driver - C,0%,0%,
11025,-10.571991,blues driver - C,0%,0%,
11068.066406,-10.427513000000001,blues driver - C,0%,0%,
11111.132812,-11.046741999999998,blues driver - C,0%,0%,
11154.199219,-9.804511999999999,blues driver - C,0%,0%,
11197.265625,-9.266552,blues driver - C,0%,0%,
11240.332031,-9.767948,blues driver - C,0%,0%,
11283.398438,-9.726394000000003,blues driver - C,0%,0%,
11326.464844,-10.745846000000004,blues driver - C,0%,0%,
11369.53125,-10.939331,blues driver - C,0%,0%,
11412.597656,-10.319286000000002,blues driver - C,0%,0%,
11455.664062,-10.472157,blues driver - C,0%,0%,
11498.730469,-9.647754000000003,blues driver - C,0%,0%,
11541.796875,-9.818729999999999,blues driver - C,0%,0%,
11584.863281,-9.118004000000003,blues driver - C,0%,0%,
11627.929688,-9.894432000000005,blues driver - C,0%,0%,
11670.996094,-9.601864000000003,blues driver - C,0%,0%,
11714.0625,-9.352367000000005,blues driver - C,0%,0%,
11757.128906,-9.653675000000003,blues driver - C,0%,0%,
11800.195312,-10.115742000000001,blues driver - C,0%,0%,
11843.261719,-10.786693000000003,blues driver - C,0%,0%,
11886.328125,-10.695865000000001,blues driver - C,0%,0%,
11929.394531,-10.330222000000003,blues driver - C,0%,0%,
11972.460938,-11.057671000000003,blues driver - C,0%,0%,
12015.527344,-10.607322,blues driver - C,0%,0%,
12058.59375,-10.919022000000002,blues driver - C,0%,0%,
12101.660156,-9.985355000000002,blues driver - C,0%,0%,
12144.726562,-9.598377000000003,blues driver - C,0%,0%,
12187.792969,-9.198997000000002,blues driver - C,0%,0%,
12230.859375,-8.853607,blues driver - C,0%,0%,
12273.925781,-9.911903000000006,blues driver - C,0%,0%,
12316.992188,-9.814277000000008,blues driver - C,0%,0%,
12360.058594,-9.217770000000005,blues driver - C,0%,0%,
12403.125,-10.217468,blues driver - C,0%,0%,
12446.191406,-9.420497999999998,blues driver - C,0%,0%,
12489.257812,-8.165352000000002,blues driver - C,0%,0%,
12532.324219,-10.006912000000003,blues driver - C,0%,0%,
12575.390625,-11.030815,blues driver - C,0%,0%,
12618.457031,-10.995903000000002,blues driver - C,0%,0%,
12661.523438,-10.597007000000001,blues driver - C,0%,0%,
12704.589844,-9.776905000000003,blues driver - C,0%,0%,
12747.65625,-10.536110000000004,blues driver - C,0%,0%,
12790.722656,-10.29863,blues driver - C,0%,0%,
12833.789062,-9.037968000000003,blues driver - C,0%,0%,
12876.855469,-10.525456000000002,blues driver - C,0%,0%,
12919.921875,-11.172135,blues driver - C,0%,0%,
12962.988281,-9.758701000000006,blues driver - C,0%,0%,
13006.054688,-10.071926000000001,blues driver - C,0%,0%,
13049.121094,-10.580696,blues driver - C,0%,0%,
13092.1875,-10.938564000000003,blues driver - C,0%,0%,
13135.253906,-10.553577,blues driver - C,0%,0%,
13178.320312,-8.751529000000001,blues driver - C,0%,0%,
13221.386719,-8.377196999999999,blues driver - C,0%,0%,
13264.453125,-9.768826,blues driver - C,0%,0%,
13307.519531,-9.970359999999996,blues driver - C,0%,0%,
13350.585938,-10.406811000000008,blues driver - C,0%,0%,
13393.652344,-9.839000000000002,blues driver - C,0%,0%,
13436.71875,-9.343914000000002,blues driver - C,0%,0%,
13479.785156,-10.339172000000001,blues driver - C,0%,0%,
13522.851562,-10.249745,blues driver - C,0%,0%,
13565.917969,-9.140003000000004,blues driver - C,0%,0%,
13608.984375,-8.584014,blues driver - C,0%,0%,
13652.050781,-8.73246,blues driver - C,0%,0%,
13695.117188,-9.079639000000004,blues driver - C,0%,0%,
13738.183594,-9.084899000000004,blues driver - C,0%,0%,
13781.25,-11.106667000000005,blues driver - C,0%,0%,
13824.316406,-11.803749,blues driver - C,0%,0%,
13867.382812,-10.108352,blues driver - C,0%,0%,
13910.449219,-10.027312999999996,blues driver - C,0%,0%,
13953.515625,-10.442169000000003,blues driver - C,0%,0%,
13996.582031,-10.810466000000002,blues driver - C,0%,0%,
14039.648438,-9.500063999999998,blues driver - C,0%,0%,
14082.714844,-9.052898000000003,blues driver - C,0%,0%,
14125.78125,-9.341854000000001,blues driver - C,0%,0%,
14168.847656,-9.575744000000004,blues driver - C,0%,0%,
14211.914062,-9.818321000000001,blues driver - C,0%,0%,
14254.980469,-10.359943000000005,blues driver - C,0%,0%,
14298.046875,-10.139774,blues driver - C,0%,0%,
14341.113281,-10.447170000000003,blues driver - C,0%,0%,
14384.179688,-10.159633000000003,blues driver - C,0%,0%,
14427.246094,-9.871105000000004,blues driver - C,0%,0%,
14470.3125,-9.170997000000003,blues driver - C,0%,0%,
14513.378906,-9.071312000000002,blues driver - C,0%,0%,
14556.445312,-8.978993,blues driver - C,0%,0%,
14599.511719,-8.685642000000005,blues driver - C,0%,0%,
14642.578125,-9.892101000000007,blues driver - C,0%,0%,
14685.644531,-9.536517,blues driver - C,0%,0%,
14728.710938,-9.51369,blues driver - C,0%,0%,
14771.777344,-9.339625999999999,blues driver - C,0%,0%,
14814.84375,-9.410232000000004,blues driver - C,0%,0%,
14857.910156,-9.693600000000007,blues driver - C,0%,0%,
14900.976562,-10.362190000000002,blues driver - C,0%,0%,
14944.042969,-9.912132000000003,blues driver - C,0%,0%,
14987.109375,-11.225106,blues driver - C,0%,0%,
15030.175781,-11.152216999999997,blues driver - C,0%,0%,
15073.242188,-10.564331000000006,blues driver - C,0%,0%,
15116.308594,-9.776428,blues driver - C,0%,0%,
15159.375,-9.148318999999997,blues driver - C,0%,0%,
15202.441406,-9.287682000000007,blues driver - C,0%,0%,
15245.507812,-9.911919000000008,blues driver - C,0%,0%,
15288.574219,-9.524490000000004,blues driver - C,0%,0%,
15331.640625,-9.429984999999999,blues driver - C,0%,0%,
15374.707031,-9.997428000000003,blues driver - C,0%,0%,
15417.773438,-9.814497999999997,blues driver - C,0%,0%,
15460.839844,-9.556099,blues driver - C,0%,0%,
15503.90625,-9.499016000000001,blues driver - C,0%,0%,
15546.972656,-10.586532000000002,blues driver - C,0%,0%,
15590.039062,-9.837681,blues driver - C,0%,0%,
15633.105469,-9.375568000000005,blues driver - C,0%,0%,
15676.171875,-9.821999000000002,blues driver - C,0%,0%,
15719.238281,-9.200363,blues driver - C,0%,0%,
15762.304688,-10.196296000000007,blues driver - C,0%,0%,
15805.371094,-9.877346,blues driver - C,0%,0%,
15848.4375,-10.309055000000004,blues driver - C,0%,0%,
15891.503906,-10.537059000000003,blues driver - C,0%,0%,
15934.570312,-9.846657000000004,blues driver - C,0%,0%,
15977.636719,-9.677195999999999,blues driver - C,0%,0%,
16020.703125,-9.740596,blues driver - C,0%,0%,
16063.769531,-9.425597999999997,blues driver - C,0%,0%,
16106.835938,-10.241207000000006,blues driver - C,0%,0%,
16149.902344,-11.257518999999998,blues driver - C,0%,0%,
16192.96875,-11.501972000000006,blues driver - C,0%,0%,
16236.035156,-10.220199000000004,blues driver - C,0%,0%,
16279.101562,-10.146427,blues driver - C,0%,0%,
16322.167969,-10.490563000000005,blues driver - C,0%,0%,
16365.234375,-9.761387000000003,blues driver - C,0%,0%,
16408.300781,-10.280429000000002,blues driver - C,0%,0%,
16451.367188,-10.148750000000003,blues driver - C,0%,0%,
16494.433594,-10.315853,blues driver - C,0%,0%,
16537.5,-11.106773,blues driver - C,0%,0%,
16580.566406,-9.869812,blues driver - C,0%,0%,
16623.632812,-9.863239000000004,blues driver - C,0%,0%,
16666.699219,-10.280097999999999,blues driver - C,0%,0%,
16709.765625,-11.277163999999996,blues driver - C,0%,0%,
16752.832031,-10.549961000000007,blues driver - C,0%,0%,
16795.898438,-10.532592000000005,blues driver - C,0%,0%,
16838.964844,-10.585545,blues driver - C,0%,0%,
16882.03125,-11.573642000000003,blues driver - C,0%,0%,
16925.097656,-11.077696999999997,blues driver - C,0%,0%,
16968.164062,-10.473480000000006,blues driver - C,0%,0%,
17011.230469,-11.315104999999999,blues driver - C,0%,0%,
17054.296875,-10.605450000000001,blues driver - C,0%,0%,
17097.363281,-10.572425000000006,blues driver - C,0%,0%,
17140.429688,-10.818450000000002,blues driver - C,0%,0%,
17183.496094,-11.042087000000006,blues driver - C,0%,0%,
17226.5625,-9.559562000000003,blues driver - C,0%,0%,
17269.628906,-9.404995000000003,blues driver - C,0%,0%,
17312.695312,-9.261219,blues driver - C,0%,0%,
17355.761719,-9.911964000000001,blues driver - C,0%,0%,
17398.828125,-10.556332000000001,blues driver - C,0%,0%,
17441.894531,-10.737648000000004,blues driver - C,0%,0%,
17484.960938,-11.654563,blues driver - C,0%,0%,
17528.027344,-11.264965000000007,blues driver - C,0%,0%,
17571.09375,-10.895025999999998,blues driver - C,0%,0%,
17614.160156,-9.787445000000002,blues driver - C,0%,0%,
