Frequency,dB,pedal,Tone,Gain
6373.828125,-16.281658,nobels odr-1,0%,0%,
6416.894531,-17.185680999999995,nobels odr-1,0%,0%,
6459.960938,-17.65189399999999,nobels odr-1,0%,0%,
6503.027344,-17.615601000000005,nobels odr-1,0%,0%,
6546.09375,-18.756439,nobels odr-1,0%,0%,
6589.160156,-17.38237399999999,nobels odr-1,0%,0%,
6632.226562,-17.69925699999999,nobels odr-1,0%,0%,
6675.292969,-16.894519999999993,nobels odr-1,0%,0%,
6718.359375,-17.114471999999992,nobels odr-1,0%,0%,
6761.425781,-17.57935299999999,nobels odr-1,0%,0%,
6804.492188,-17.046238000000002,nobels odr-1,0%,0%,
6847.558594,-18.25838199999999,nobels odr-1,0%,0%,
6890.625,-16.68662299999999,nobels odr-1,0%,0%,
6933.691406,-16.710124999999998,nobels odr-1,0%,0%,
6976.757812,-16.957825,nobels odr-1,0%,0%,
7019.824219,-16.58304599999999,nobels odr-1,0%,0%,
7062.890625,-17.538784999999997,nobels odr-1,0%,0%,
7105.957031,-17.404300999999997,nobels odr-1,0%,0%,
7149.023438,-18.296833,nobels odr-1,0%,0%,
7192.089844,-17.121265,nobels odr-1,0%,0%,
7235.15625,-16.658721999999997,nobels odr-1,0%,0%,
7278.222656,-18.587615999999997,nobels odr-1,0%,0%,
7321.289062,-17.051776999999994,nobels odr-1,0%,0%,
7364.355469,-17.29296199999999,nobels odr-1,0%,0%,
7407.421875,-17.007523,nobels odr-1,0%,0%,
7450.488281,-16.667484999999992,nobels odr-1,0%,0%,
7493.554688,-17.054207999999996,nobels odr-1,0%,0%,
7536.621094,-16.66559699999999,nobels odr-1,0%,0%,
7579.6875,-17.54251099999999,nobels odr-1,0%,0%,
7622.753906,-15.64208699999999,nobels odr-1,0%,0%,
7665.820312,-15.523719999999997,nobels odr-1,0%,0%,
7708.886719,-16.762615999999994,nobels odr-1,0%,0%,
7751.953125,-16.837230999999996,nobels odr-1,0%,0%,
7795.019531,-18.751647999999996,nobels odr-1,0%,0%,
7838.085938,-17.24216899999999,nobels odr-1,0%,0%,
7881.152344,-17.183704999999996,nobels odr-1,0%,0%,
7924.21875,-18.68590199999999,nobels odr-1,0%,0%,
7967.285156,-17.321155999999995,nobels odr-1,0%,0%,
8010.351562,-17.06331999999999,nobels odr-1,0%,0%,
8053.417969,-17.639236999999994,nobels odr-1,0%,0%,
8096.484375,-18.286838999999993,nobels odr-1,0%,0%,
8139.550781,-18.202374,nobels odr-1,0%,0%,
8182.617188,-16.410117999999997,nobels odr-1,0%,0%,
8225.683594,-16.146725000000004,nobels odr-1,0%,0%,
8268.75,-17.30816199999999,nobels odr-1,0%,0%,
8311.816406,-18.730090999999994,nobels odr-1,0%,0%,
8354.882812,-17.511169999999993,nobels odr-1,0%,0%,
8397.949219,-16.731772999999997,nobels odr-1,0%,0%,
8441.015625,-18.067229999999995,nobels odr-1,0%,0%,
8484.082031,-17.360015999999995,nobels odr-1,0%,0%,
8527.148438,-17.969249999999988,nobels odr-1,0%,0%,
8570.214844,-16.89971899999999,nobels odr-1,0%,0%,
8613.28125,-16.771872999999992,nobels odr-1,0%,0%,
8656.347656,-17.281017999999996,nobels odr-1,0%,0%,
8699.414062,-16.171619999999997,nobels odr-1,0%,0%,
8742.480469,-17.640636999999998,nobels odr-1,0%,0%,
8785.546875,-17.909190999999993,nobels odr-1,0%,0%,
8828.613281,-17.731544999999997,nobels odr-1,0%,0%,
8871.679688,-18.146632999999987,nobels odr-1,0%,0%,
8914.746094,-17.236195000000002,nobels odr-1,0%,0%,
8957.8125,-17.536789,nobels odr-1,0%,0%,
9000.878906,-18.020549999999993,nobels odr-1,0%,0%,
9043.945312,-18.89710699999999,nobels odr-1,0%,0%,
9087.011719,-17.190982999999996,nobels odr-1,0%,0%,
9130.078125,-17.432723999999993,nobels odr-1,0%,0%,
9173.144531,-19.062169000000004,nobels odr-1,0%,0%,
9216.210938,-17.851927999999987,nobels odr-1,0%,0%,
9259.277344,-18.112796999999993,nobels odr-1,0%,0%,
9302.34375,-16.818477999999992,nobels odr-1,0%,0%,
9345.410156,-16.675670999999994,nobels odr-1,0%,0%,
9388.476562,-18.106106000000004,nobels odr-1,0%,0%,
9431.542969,-17.883776999999995,nobels odr-1,0%,0%,
9474.609375,-18.520018999999998,nobels odr-1,0%,0%,
9517.675781,-18.071861,nobels odr-1,0%,0%,
9560.742188,-17.519122999999993,nobels odr-1,0%,0%,
9603.808594,-18.760139999999993,nobels odr-1,0%,0%,
9646.875,-17.41125199999999,nobels odr-1,0%,0%,
9689.941406,-17.166625999999994,nobels odr-1,0%,0%,
9733.007812,-17.19079999999999,nobels odr-1,0%,0%,
9776.074219,-17.220539999999993,nobels odr-1,0%,0%,
9819.140625,-18.092628999999995,nobels odr-1,0%,0%,
9862.207031,-16.868644999999994,nobels odr-1,0%,0%,
9905.273438,-17.292797,nobels odr-1,0%,0%,
9948.339844,-17.826572,nobels odr-1,0%,0%,
9991.40625,-18.51542699999999,nobels odr-1,0%,0%,
10034.472656,-18.892346000000003,nobels odr-1,0%,0%,
10077.539062,-17.069306000000005,nobels odr-1,0%,0%,
10120.605469,-17.767102,nobels odr-1,0%,0%,
10163.671875,-18.124858999999994,nobels odr-1,0%,0%,
10206.738281,-18.271293999999997,nobels odr-1,0%,0%,
10249.804688,-18.75762199999999,nobels odr-1,0%,0%,
10292.871094,-17.382241,nobels odr-1,0%,0%,
10335.9375,-17.852119999999992,nobels odr-1,0%,0%,
10379.003906,-17.642116999999992,nobels odr-1,0%,0%,
10422.070312,-18.031277000000003,nobels odr-1,0%,0%,
10465.136719,-19.423564999999996,nobels odr-1,0%,0%,
10508.203125,-18.554806,nobels odr-1,0%,0%,
10551.269531,-18.081826,nobels odr-1,0%,0%,
10594.335938,-17.639155999999993,nobels odr-1,0%,0%,
10637.402344,-18.722285999999997,nobels odr-1,0%,0%,
10680.46875,-18.100119999999997,nobels odr-1,0%,0%,
10723.535156,-17.204677999999994,nobels odr-1,0%,0%,
