Frequency,dB,pedal,Tone,Gain
9345.410156,-25.970522000000003,morning glory,0%,0%,
9388.476562,-25.613473999999997,morning glory,0%,0%,
9431.542969,-25.884848000000005,morning glory,0%,0%,
9474.609375,-24.978613000000003,morning glory,0%,0%,
9517.675781,-25.182320999999995,morning glory,0%,0%,
9560.742188,-25.467957999999996,morning glory,0%,0%,
9603.808594,-25.98919500000001,morning glory,0%,0%,
9646.875,-26.40606499999999,morning glory,0%,0%,
9689.941406,-25.751730000000002,morning glory,0%,0%,
9733.007812,-25.368130999999998,morning glory,0%,0%,
9776.074219,-25.981676000000007,morning glory,0%,0%,
9819.140625,-25.306874999999998,morning glory,0%,0%,
9862.207031,-25.445611999999997,morning glory,0%,0%,
9905.273438,-24.890195999999996,morning glory,0%,0%,
9948.339844,-25.646333000000006,morning glory,0%,0%,
9991.40625,-26.007655000000007,morning glory,0%,0%,
10034.472656,-25.699044999999998,morning glory,0%,0%,
10077.539062,-25.475882,morning glory,0%,0%,
10120.605469,-25.137468999999996,morning glory,0%,0%,
10163.671875,-26.059026999999993,morning glory,0%,0%,
10206.738281,-25.48646,morning glory,0%,0%,
10249.804688,-25.479567000000003,morning glory,0%,0%,
10292.871094,-25.680792000000004,morning glory,0%,0%,
10335.9375,-25.945307,morning glory,0%,0%,
10379.003906,-26.011468999999998,morning glory,0%,0%,
10422.070312,-25.949391999999996,morning glory,0%,0%,
10465.136719,-26.463621000000003,morning glory,0%,0%,
10508.203125,-26.230337,morning glory,0%,0%,
10551.269531,-26.40283,morning glory,0%,0%,
10594.335938,-27.129613999999997,morning glory,0%,0%,
10637.402344,-26.384038999999994,morning glory,0%,0%,
10680.46875,-26.528894000000008,morning glory,0%,0%,
10723.535156,-26.188321999999992,morning glory,0%,0%,
10766.601562,-26.881798999999994,morning glory,0%,0%,
10809.667969,-26.37121700000001,morning glory,0%,0%,
10852.734375,-26.080899999999993,morning glory,0%,0%,
10895.800781,-26.178720999999996,morning glory,0%,0%,
10938.867188,-26.268716000000005,morning glory,0%,0%,
10981.933594,-26.582975000000005,morning glory,0%,0%,
11025,-26.435091,morning glory,0%,0%,
11068.066406,-27.200911000000005,morning glory,0%,0%,
11111.132812,-26.787390000000002,morning glory,0%,0%,
11154.199219,-26.658624000000003,morning glory,0%,0%,
11197.265625,-26.880266,morning glory,0%,0%,
11240.332031,-26.887795999999994,morning glory,0%,0%,
11283.398438,-27.043013000000002,morning glory,0%,0%,
11326.464844,-26.563550999999997,morning glory,0%,0%,
11369.53125,-26.614946000000003,morning glory,0%,0%,
11412.597656,-26.190942999999997,morning glory,0%,0%,
11455.664062,-26.286207000000005,morning glory,0%,0%,
11498.730469,-27.023264000000005,morning glory,0%,0%,
11541.796875,-26.509389999999996,morning glory,0%,0%,
11584.863281,-25.75761200000001,morning glory,0%,0%,
11627.929688,-26.303362,morning glory,0%,0%,
11670.996094,-27.043825000000005,morning glory,0%,0%,
11714.0625,-27.266272,morning glory,0%,0%,
11757.128906,-26.662722000000002,morning glory,0%,0%,
11800.195312,-26.443755000000003,morning glory,0%,0%,
11843.261719,-26.800932000000003,morning glory,0%,0%,
11886.328125,-26.803335000000004,morning glory,0%,0%,
11929.394531,-27.257372000000004,morning glory,0%,0%,
11972.460938,-26.553556000000007,morning glory,0%,0%,
12015.527344,-26.159859999999995,morning glory,0%,0%,
12058.59375,-26.54401899999999,morning glory,0%,0%,
12101.660156,-26.951642000000007,morning glory,0%,0%,
12144.726562,-27.423509999999993,morning glory,0%,0%,
12187.792969,-27.536756999999994,morning glory,0%,0%,
12230.859375,-26.808554,morning glory,0%,0%,
12273.925781,-27.307401000000006,morning glory,0%,0%,
12316.992188,-26.829149000000008,morning glory,0%,0%,
12360.058594,-26.309076999999995,morning glory,0%,0%,
12403.125,-26.537539000000002,morning glory,0%,0%,
12446.191406,-26.047274,morning glory,0%,0%,
12489.257812,-26.765726,morning glory,0%,0%,
12532.324219,-26.905367,morning glory,0%,0%,
12575.390625,-26.845587000000002,morning glory,0%,0%,
12618.457031,-26.922255,morning glory,0%,0%,
12661.523438,-26.483362,morning glory,0%,0%,
12704.589844,-26.613152999999997,morning glory,0%,0%,
12747.65625,-26.913469000000006,morning glory,0%,0%,
12790.722656,-27.298028999999993,morning glory,0%,0%,
12833.789062,-26.91264900000001,morning glory,0%,0%,
12876.855469,-27.178449000000008,morning glory,0%,0%,
12919.921875,-27.565916,morning glory,0%,0%,
12962.988281,-27.842905000000002,morning glory,0%,0%,
13006.054688,-27.523218,morning glory,0%,0%,
13049.121094,-26.478967000000004,morning glory,0%,0%,
13092.1875,-27.413519000000008,morning glory,0%,0%,
13135.253906,-27.695546999999998,morning glory,0%,0%,
13178.320312,-26.042485999999997,morning glory,0%,0%,
13221.386719,-27.06243299999999,morning glory,0%,0%,
13264.453125,-28.393457000000005,morning glory,0%,0%,
13307.519531,-28.080419999999997,morning glory,0%,0%,
13350.585938,-27.55535300000001,morning glory,0%,0%,
13393.652344,-26.915964000000002,morning glory,0%,0%,
13436.71875,-27.922022,morning glory,0%,0%,
13479.785156,-27.135073000000006,morning glory,0%,0%,
13522.851562,-26.528374999999997,morning glory,0%,0%,
13565.917969,-27.731813000000002,morning glory,0%,0%,
13608.984375,-27.994654000000004,morning glory,0%,0%,
13652.050781,-28.221510000000002,morning glory,0%,0%,
13695.117188,-26.583902000000002,morning glory,0%,0%,
13738.183594,-27.35969,morning glory,0%,0%,
13781.25,-27.867311,morning glory,0%,0%,
13824.316406,-27.424562,morning glory,0%,0%,
13867.382812,-27.871057000000008,morning glory,0%,0%,
13910.449219,-27.824464999999996,morning glory,0%,0%,
13953.515625,-27.73059200000001,morning glory,0%,0%,
13996.582031,-27.578348,morning glory,0%,0%,
14039.648438,-26.962697999999996,morning glory,0%,0%,
14082.714844,-27.189393999999993,morning glory,0%,0%,
14125.78125,-27.558775000000004,morning glory,0%,0%,
14168.847656,-26.968359000000007,morning glory,0%,0%,
14211.914062,-26.441409,morning glory,0%,0%,
14254.980469,-27.150003000000005,morning glory,0%,0%,
14298.046875,-27.209044,morning glory,0%,0%,
14341.113281,-27.180077999999995,morning glory,0%,0%,
14384.179688,-27.426752,morning glory,0%,0%,
14427.246094,-27.082567000000004,morning glory,0%,0%,
14470.3125,-28.050069999999998,morning glory,0%,0%,
14513.378906,-28.286879,morning glory,0%,0%,
14556.445312,-28.296895999999997,morning glory,0%,0%,
14599.511719,-27.796693999999995,morning glory,0%,0%,
14642.578125,-28.397600000000004,morning glory,0%,0%,
14685.644531,-27.87475,morning glory,0%,0%,
14728.710938,-26.79833,morning glory,0%,0%,
14771.777344,-26.953829,morning glory,0%,0%,
14814.84375,-27.731233000000003,morning glory,0%,0%,
14857.910156,-28.192761999999995,morning glory,0%,0%,
14900.976562,-28.178881000000004,morning glory,0%,0%,
14944.042969,-28.029050999999995,morning glory,0%,0%,
14987.109375,-28.412066000000003,morning glory,0%,0%,
15030.175781,-28.615533999999997,morning glory,0%,0%,
15073.242188,-28.433964999999993,morning glory,0%,0%,
15116.308594,-27.994238000000003,morning glory,0%,0%,
15159.375,-27.946096000000004,morning glory,0%,0%,
15202.441406,-28.155320999999994,morning glory,0%,0%,
15245.507812,-28.049150000000004,morning glory,0%,0%,
15288.574219,-28.169267000000005,morning glory,0%,0%,
15331.640625,-28.362318000000002,morning glory,0%,0%,
15374.707031,-28.235433999999998,morning glory,0%,0%,
15417.773438,-27.800528,morning glory,0%,0%,
15460.839844,-28.655786,morning glory,0%,0%,
15503.90625,-28.462766000000002,morning glory,0%,0%,
15546.972656,-27.675501000000004,morning glory,0%,0%,
15590.039062,-27.534551999999998,morning glory,0%,0%,
15633.105469,-28.117627999999996,morning glory,0%,0%,
15676.171875,-28.556299000000003,morning glory,0%,0%,
15719.238281,-28.29788,morning glory,0%,0%,
15762.304688,-28.55948800000001,morning glory,0%,0%,
15805.371094,-28.779542,morning glory,0%,0%,
