frequency_hz,dB,pedal,gain,tone
5684.765625,-12.914249000000005,Morning Glory v4,100%,0%
5727.832031,-12.749706000000003,Morning Glory v4,100%,0%
5770.898438,-12.884346,Morning Glory v4,100%,0%
5813.964844,-13.180423000000005,Morning Glory v4,100%,0%
5857.03125,-13.092152000000006,Morning Glory v4,100%,0%
5900.097656,-13.273098000000005,Morning Glory v4,100%,0%
5943.164062,-13.330619999999996,Morning Glory v4,100%,0%
5986.230469,-12.984642000000001,Morning Glory v4,100%,0%
6029.296875,-13.349235,Morning Glory v4,100%,0%
6072.363281,-13.879382999999997,Morning Glory v4,100%,0%
6115.429688,-13.932746000000002,Morning Glory v4,100%,0%
6158.496094,-14.215538000000002,Morning Glory v4,100%,0%
6201.5625,-14.237350999999997,Morning Glory v4,100%,0%
6244.628906,-14.313603,Morning Glory v4,100%,0%
6287.695312,-14.230049000000001,Morning Glory v4,100%,0%
6330.761719,-13.839703,Morning Glory v4,100%,0%
6373.828125,-13.866546,Morning Glory v4,100%,0%
6416.894531,-14.167073000000002,Morning Glory v4,100%,0%
6459.960938,-14.437748,Morning Glory v4,100%,0%
6503.027344,-14.377125,Morning Glory v4,100%,0%
6546.09375,-14.440838,Morning Glory v4,100%,0%
6589.160156,-14.419871999999998,Morning Glory v4,100%,0%
6632.226562,-13.974753999999997,Morning Glory v4,100%,0%
6675.292969,-14.337944,Morning Glory v4,100%,0%
6718.359375,-14.508885,Morning Glory v4,100%,0%
6761.425781,-14.686915999999997,Morning Glory v4,100%,0%
6804.492188,-14.633412,Morning Glory v4,100%,0%
6847.558594,-14.719731000000003,Morning Glory v4,100%,0%
6890.625,-15.201706000000001,Morning Glory v4,100%,0%
6933.691406,-15.293827,Morning Glory v4,100%,0%
6976.757812,-15.247443999999994,Morning Glory v4,100%,0%
7019.824219,-15.701756000000003,Morning Glory v4,100%,0%
7062.890625,-15.418006999999996,Morning Glory v4,100%,0%
7105.957031,-15.370624999999997,Morning Glory v4,100%,0%
7149.023438,-15.481132000000002,Morning Glory v4,100%,0%
7192.089844,-15.358234000000003,Morning Glory v4,100%,0%
7235.15625,-15.458599,Morning Glory v4,100%,0%
7278.222656,-15.471283,Morning Glory v4,100%,0%
7321.289062,-15.250744000000005,Morning Glory v4,100%,0%
7364.355469,-15.475280999999995,Morning Glory v4,100%,0%
7407.421875,-15.689515,Morning Glory v4,100%,0%
7450.488281,-15.594205000000002,Morning Glory v4,100%,0%
7493.554688,-15.998085000000003,Morning Glory v4,100%,0%
7536.621094,-15.777442999999998,Morning Glory v4,100%,0%
7579.6875,-15.866870999999996,Morning Glory v4,100%,0%
7622.753906,-16.033291000000006,Morning Glory v4,100%,0%
7665.820312,-16.110377999999997,Morning Glory v4,100%,0%
7708.886719,-16.141255,Morning Glory v4,100%,0%
7751.953125,-15.964091999999994,Morning Glory v4,100%,0%
7795.019531,-16.092675,Morning Glory v4,100%,0%
7838.085938,-16.675075,Morning Glory v4,100%,0%
7881.152344,-16.788379999999997,Morning Glory v4,100%,0%
7924.21875,-16.752598,Morning Glory v4,100%,0%
7967.285156,-16.717361000000004,Morning Glory v4,100%,0%
8010.351562,-16.698517000000002,Morning Glory v4,100%,0%
8053.417969,-16.497036,Morning Glory v4,100%,0%
8096.484375,-16.772076,Morning Glory v4,100%,0%
8139.550781,-17.367526999999995,Morning Glory v4,100%,0%
8182.617188,-17.066097,Morning Glory v4,100%,0%
8225.683594,-16.849998999999997,Morning Glory v4,100%,0%
8268.75,-16.606716,Morning Glory v4,100%,0%
8311.816406,-17.314525000000003,Morning Glory v4,100%,0%
8354.882812,-17.258777000000002,Morning Glory v4,100%,0%
8397.949219,-16.885680999999998,Morning Glory v4,100%,0%
8441.015625,-16.893344999999997,Morning Glory v4,100%,0%
8484.082031,-17.088297999999995,Morning Glory v4,100%,0%
8527.148438,-17.331341000000002,Morning Glory v4,100%,0%
8570.214844,-17.707591999999998,Morning Glory v4,100%,0%
8613.28125,-17.224006999999993,Morning Glory v4,100%,0%
8656.347656,-17.490313999999998,Morning Glory v4,100%,0%
8699.414062,-17.669731,Morning Glory v4,100%,0%
8742.480469,-18.148128999999997,Morning Glory v4,100%,0%
8785.546875,-17.923199000000004,Morning Glory v4,100%,0%
8828.613281,-17.821135999999996,Morning Glory v4,100%,0%
8871.679688,-18.143811,Morning Glory v4,100%,0%
8914.746094,-18.289116,Morning Glory v4,100%,0%
8957.8125,-18.079966999999996,Morning Glory v4,100%,0%
9000.878906,-18.122296,Morning Glory v4,100%,0%
9043.945312,-18.037608999999996,Morning Glory v4,100%,0%
9087.011719,-18.113608999999997,Morning Glory v4,100%,0%
9130.078125,-18.223244,Morning Glory v4,100%,0%
9173.144531,-18.327049000000002,Morning Glory v4,100%,0%
9216.210938,-18.355549000000003,Morning Glory v4,100%,0%
9259.277344,-18.965069,Morning Glory v4,100%,0%
9302.34375,-18.727714999999996,Morning Glory v4,100%,0%
9345.410156,-18.776134999999996,Morning Glory v4,100%,0%
9388.476562,-19.295359999999995,Morning Glory v4,100%,0%
9431.542969,-18.970646000000002,Morning Glory v4,100%,0%
9474.609375,-18.963844,Morning Glory v4,100%,0%
9517.675781,-19.026103999999997,Morning Glory v4,100%,0%
9560.742188,-18.628482999999996,Morning Glory v4,100%,0%
9603.808594,-18.938164,Morning Glory v4,100%,0%
9646.875,-19.084903999999995,Morning Glory v4,100%,0%
9689.941406,-19.140408,Morning Glory v4,100%,0%
9733.007812,-19.212913,Morning Glory v4,100%,0%
9776.074219,-19.548435000000005,Morning Glory v4,100%,0%
9819.140625,-19.092377,Morning Glory v4,100%,0%
9862.207031,-19.326355,Morning Glory v4,100%,0%
9905.273438,-19.409538999999995,Morning Glory v4,100%,0%
9948.339844,-19.780257999999996,Morning Glory v4,100%,0%
9991.40625,-19.527875,Morning Glory v4,100%,0%
10034.472656,-19.534,Morning Glory v4,100%,0%
10077.539062,-19.578789,Morning Glory v4,100%,0%
10120.605469,-19.744316999999995,Morning Glory v4,100%,0%
10163.671875,-19.977832999999997,Morning Glory v4,100%,0%
10206.738281,-20.017802999999994,Morning Glory v4,100%,0%
10249.804688,-20.272481,Morning Glory v4,100%,0%
10292.871094,-20.033302999999997,Morning Glory v4,100%,0%
10335.9375,-19.925213,Morning Glory v4,100%,0%
10379.003906,-20.289390000000004,Morning Glory v4,100%,0%
10422.070312,-20.435420999999998,Morning Glory v4,100%,0%
10465.136719,-20.533316999999997,Morning Glory v4,100%,0%
10508.203125,-20.639400000000002,Morning Glory v4,100%,0%
10551.269531,-20.531387000000002,Morning Glory v4,100%,0%
10594.335938,-20.279106,Morning Glory v4,100%,0%
10637.402344,-20.505218999999997,Morning Glory v4,100%,0%
