frequency_hz,dB,pedal,gain,tone
1205.859375,-5.437237000000003,nobels,100%,0%
1227.392578,-5.1858450000000005,nobels,100%,0%
1248.925781,-4.508243999999998,nobels,100%,0%
1270.458984,-5.847050000000003,nobels,100%,0%
1291.992188,-7.111114999999998,nobels,100%,0%
1313.525391,-6.665489999999998,nobels,100%,0%
1335.058594,-5.100082999999998,nobels,100%,0%
1356.591797,-4.200215,nobels,100%,0%
1378.125,-3.9554680000000033,nobels,100%,0%
1399.658203,-4.005703999999994,nobels,100%,0%
1421.191406,-4.8363919999999965,nobels,100%,0%
1442.724609,-5.290444000000001,nobels,100%,0%
1464.257812,-5.445801000000003,nobels,100%,0%
1485.791016,-5.879559999999998,nobels,100%,0%
1507.324219,-5.0848510000000005,nobels,100%,0%
1528.857422,-6.139088000000001,nobels,100%,0%
1550.390625,-5.716656999999998,nobels,100%,0%
1571.923828,-5.278581000000003,nobels,100%,0%
1593.457031,-5.763763999999995,nobels,100%,0%
1614.990234,-5.7009279999999976,nobels,100%,0%
1636.523438,-5.7200440000000015,nobels,100%,0%
1658.056641,-6.137359999999994,nobels,100%,0%
1679.589844,-7.410598999999998,nobels,100%,0%
1701.123047,-7.224300999999997,nobels,100%,0%
1722.65625,-7.450878999999993,nobels,100%,0%
1744.189453,-6.320670999999997,nobels,100%,0%
1765.722656,-5.887031999999998,nobels,100%,0%
1787.255859,-6.448174999999999,nobels,100%,0%
1808.789062,-7.354675999999998,nobels,100%,0%
1830.322266,-7.071197999999995,nobels,100%,0%
1851.855469,-7.803295999999996,nobels,100%,0%
1873.388672,-8.712032999999998,nobels,100%,0%
1894.921875,-7.845833999999996,nobels,100%,0%
1916.455078,-8.332996999999999,nobels,100%,0%
1937.988281,-7.873382999999997,nobels,100%,0%
1959.521484,-5.345973999999998,nobels,100%,0%
1981.054688,-6.417918999999998,nobels,100%,0%
2002.587891,-8.355294,nobels,100%,0%
2024.121094,-6.937531,nobels,100%,0%
2045.654297,-6.727905999999997,nobels,100%,0%
2067.1875,-7.436134999999993,nobels,100%,0%
2088.720703,-6.720787999999999,nobels,100%,0%
2110.253906,-8.076377999999998,nobels,100%,0%
2131.787109,-7.155483999999994,nobels,100%,0%
2153.320312,-8.356926999999999,nobels,100%,0%
2174.853516,-10.151085999999992,nobels,100%,0%
2196.386719,-10.271138,nobels,100%,0%
2217.919922,-9.384712999999998,nobels,100%,0%
2239.453125,-8.054218999999996,nobels,100%,0%
2260.986328,-8.212314999999997,nobels,100%,0%
2282.519531,-9.206806999999998,nobels,100%,0%
2304.052734,-9.136288,nobels,100%,0%
2325.585938,-9.296745999999999,nobels,100%,0%
2347.119141,-9.655433999999993,nobels,100%,0%
2368.652344,-8.798409,nobels,100%,0%
2390.185547,-9.795029,nobels,100%,0%
2411.71875,-10.058770000000003,nobels,100%,0%
2433.251953,-11.020162,nobels,100%,0%
2454.785156,-10.573284999999998,nobels,100%,0%
2476.318359,-9.880223,nobels,100%,0%
2497.851562,-9.515388999999999,nobels,100%,0%
2519.384766,-8.878407000000003,nobels,100%,0%
2540.917969,-7.789574999999992,nobels,100%,0%
2562.451172,-8.436505000000004,nobels,100%,0%
2583.984375,-9.507337,nobels,100%,0%
2605.517578,-11.112583,nobels,100%,0%
2627.050781,-11.001945999999997,nobels,100%,0%
2648.583984,-11.329166999999998,nobels,100%,0%
2670.117188,-10.723736000000002,nobels,100%,0%
2691.650391,-10.595371999999998,nobels,100%,0%
2713.183594,-10.139885,nobels,100%,0%
2734.716797,-9.496762000000004,nobels,100%,0%
2756.25,-10.578716999999997,nobels,100%,0%
2777.783203,-11.890846999999994,nobels,100%,0%
2799.316406,-11.127170999999997,nobels,100%,0%
