frequency_hz,dB,pedal,gain,tone
8225.683594,-0.9097500000000025,nobels,100%,50%
8268.75,-0.7718749999999943,nobels,100%,50%
8311.816406,-0.8283559999999994,nobels,100%,50%
8354.882812,-0.541253999999995,nobels,100%,50%
8397.949219,-0.4656840000000031,nobels,100%,50%
8441.015625,-0.9754199999999997,nobels,100%,50%
8484.082031,-0.8692119999999974,nobels,100%,50%
8527.148438,-0.7234930000000048,nobels,100%,50%
8570.214844,-0.6296359999999979,nobels,100%,50%
8613.28125,-0.6510639999999981,nobels,100%,50%
8656.347656,-0.6623319999999993,nobels,100%,50%
8699.414062,-0.5719890000000021,nobels,100%,50%
8742.480469,-0.7713639999999984,nobels,100%,50%
8785.546875,-0.5002840000000006,nobels,100%,50%
8828.613281,-0.2296310000000048,nobels,100%,50%
8871.679688,-0.6356639999999985,nobels,100%,50%
8914.746094,-0.8414059999999992,nobels,100%,50%
8957.8125,-0.660814000000002,nobels,100%,50%
9000.878906,-0.7059610000000021,nobels,100%,50%
9043.945312,-0.7927449999999965,nobels,100%,50%
9087.011719,-0.7188169999999943,nobels,100%,50%
9130.078125,-0.7395759999999996,nobels,100%,50%
9173.144531,-0.6653769999999994,nobels,100%,50%
9216.210938,-0.9132329999999982,nobels,100%,50%
9259.277344,-0.6187880000000021,nobels,100%,50%
9302.34375,-0.5450080000000028,nobels,100%,50%
9345.410156,-0.840482999999999,nobels,100%,50%
9388.476562,-0.6522579999999962,nobels,100%,50%
9431.542969,-0.3870760000000004,nobels,100%,50%
9474.609375,-0.2971590000000006,nobels,100%,50%
9517.675781,-0.43220700000000534,nobels,100%,50%
9560.742188,-0.6567289999999986,nobels,100%,50%
9603.808594,-0.9870130000000046,nobels,100%,50%
9646.875,-0.8848550000000017,nobels,100%,50%
9689.941406,-0.5782029999999949,nobels,100%,50%
9733.007812,-0.2571619999999939,nobels,100%,50%
9776.074219,-0.1964320000000015,nobels,100%,50%
9819.140625,-0.526406999999999,nobels,100%,50%
9862.207031,-0.6947389999999984,nobels,100%,50%
9905.273438,-0.6281710000000018,nobels,100%,50%
9948.339844,-0.5910439999999966,nobels,100%,50%
9991.40625,-0.7174059999999969,nobels,100%,50%
10034.472656,-0.880980000000001,nobels,100%,50%
10077.539062,-0.2878779999999992,nobels,100%,50%
10120.605469,-0.29963199999999546,nobels,100%,50%
10163.671875,-0.8138250000000014,nobels,100%,50%
10206.738281,-0.7955569999999952,nobels,100%,50%
10249.804688,-0.6686270000000007,nobels,100%,50%
10292.871094,-0.5630170000000021,nobels,100%,50%
10335.9375,-0.9466579999999993,nobels,100%,50%
10379.003906,-1.0447599999999966,nobels,100%,50%
